-4.9,-4.8,-4.7,-4.6,-4.5,-4.3,-4.2,-4.1,-4.0,-3.9,-3.8,-3.7,-3.6,-3.5,-3.4,-3.3,-3.2,-3.1,-3.0,-2.9,-2.8,-2.7,-2.6,-2.5,-2.4,-2.3,-2.2,-2.1,-2.0,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,-0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.5,4.6,4.7,4.8,4.9
0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,0%,,0%,,,100%,,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,100%,100%,100%,0%,100%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,100%,100%,0%,0%,0%,100%,0%,100%,100%,0%,100%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,100%,0%,0%,100%,0%,0%,0%,,0%,,0%,
,0%,,0%,,,100%,,,50%,0%,0%,0%,50%,0%,0%,50%,50%,50%,50%,0%,50%,0%,50%,100%,100%,0%,50%,0%,50%,50%,50%,0%,50%,0%,0%,0%,0%,50%,0%,50%,50%,50%,50%,0%,50%,0%,50%,100%,0%,50%,0%,50%,50%,50%,50%,0%,0%,0%,50%,50%,50%,50%,50%,50%,0%,0%,50%,0%,0%,0%,0%,50%,50%,0%,0%,0%,50%,0%,0%,0%,50%,0%,0%,50%,0%,0%,100%,,,,,0%,,0%,
,,,0%,,,,,,67%,0%,0%,33%,33%,0%,0%,33%,67%,33%,67%,0%,33%,0%,33%,67%,67%,0%,33%,0%,67%,67%,33%,0%,67%,0%,0%,0%,0%,33%,33%,33%,33%,33%,67%,33%,33%,0%,33%,67%,0%,33%,33%,33%,67%,33%,33%,0%,0%,33%,33%,33%,33%,67%,33%,33%,0%,0%,33%,0%,0%,0%,0%,33%,67%,0%,0%,0%,33%,0%,0%,0%,33%,0%,0%,67%,0%,0%,67%,,,,,0%,,,
,,,25%,,,,,,75%,0%,0%,25%,50%,0%,25%,25%,50%,25%,75%,0%,25%,25%,25%,75%,50%,0%,50%,0%,50%,50%,25%,0%,50%,25%,0%,0%,0%,50%,25%,50%,25%,50%,75%,25%,25%,0%,25%,50%,25%,25%,25%,25%,50%,50%,25%,0%,25%,50%,25%,50%,25%,75%,25%,25%,0%,0%,25%,0%,0%,0%,25%,25%,50%,0%,0%,0%,25%,0%,25%,0%,25%,0%,0%,75%,0%,0%,50%,,,,,0%,,,
,,,,,,,,,80%,20%,20%,40%,40%,0%,40%,40%,40%,20%,60%,20%,40%,20%,40%,60%,40%,0%,40%,0%,40%,60%,40%,0%,60%,40%,0%,20%,0%,40%,20%,60%,40%,60%,60%,20%,40%,0%,20%,40%,40%,20%,40%,20%,60%,40%,20%,0%,20%,40%,20%,40%,40%,60%,20%,20%,0%,20%,20%,20%,0%,20%,20%,20%,60%,0%,0%,0%,20%,20%,20%,0%,20%,0%,0%,60%,0%,0%,60%,,,,,,,,
,,,,,,,,,67%,33%,17%,50%,50%,0%,33%,50%,50%,33%,67%,17%,50%,17%,50%,50%,33%,0%,33%,0%,33%,50%,33%,17%,67%,33%,0%,17%,0%,33%,33%,50%,33%,67%,50%,17%,33%,0%,33%,33%,33%,17%,33%,33%,50%,33%,33%,0%,33%,50%,17%,50%,33%,50%,17%,17%,0%,17%,17%,33%,0%,17%,17%,17%,67%,0%,0%,0%,17%,17%,33%,17%,17%,17%,0%,50%,0%,0%,50%,,,,,,,,
,,,,,,,,,71%,43%,29%,57%,57%,14%,29%,57%,43%,29%,71%,14%,57%,14%,57%,43%,29%,0%,29%,0%,29%,57%,29%,29%,57%,43%,0%,29%,14%,43%,43%,57%,43%,71%,43%,14%,29%,0%,29%,29%,43%,29%,43%,43%,57%,29%,43%,0%,43%,43%,14%,43%,29%,43%,14%,14%,0%,29%,14%,43%,0%,14%,14%,14%,57%,0%,0%,0%,14%,14%,29%,14%,14%,14%,0%,43%,0%,0%,43%,,,,,,,,
,,,,,,,,,62%,38%,25%,62%,62%,25%,38%,62%,38%,38%,75%,25%,62%,12%,50%,38%,25%,0%,25%,0%,25%,62%,25%,38%,50%,50%,12%,38%,25%,38%,38%,50%,38%,62%,38%,25%,25%,0%,38%,25%,38%,25%,38%,38%,50%,25%,38%,0%,50%,38%,12%,38%,38%,38%,12%,25%,0%,38%,12%,38%,0%,25%,12%,12%,62%,0%,0%,12%,12%,12%,25%,12%,12%,12%,0%,38%,0%,0%,38%,,,,,,,,
,,,,,,,,,67%,44%,33%,67%,67%,22%,33%,67%,33%,44%,78%,33%,67%,22%,56%,33%,22%,11%,22%,11%,22%,67%,33%,44%,44%,44%,11%,44%,22%,33%,33%,44%,33%,67%,44%,22%,22%,0%,44%,33%,33%,22%,44%,33%,56%,22%,33%,0%,56%,33%,22%,33%,33%,33%,11%,22%,0%,33%,11%,33%,0%,22%,11%,11%,56%,11%,0%,11%,11%,22%,22%,11%,11%,22%,0%,33%,0%,0%,33%,,,,,,,,
,,,,,,,,,70%,50%,40%,60%,70%,20%,30%,60%,30%,40%,70%,40%,70%,20%,60%,40%,20%,20%,20%,10%,30%,60%,30%,50%,50%,40%,10%,40%,30%,40%,30%,40%,30%,70%,40%,20%,30%,10%,40%,40%,30%,20%,50%,30%,60%,20%,30%,0%,50%,40%,30%,30%,30%,30%,10%,30%,0%,40%,10%,30%,0%,20%,10%,10%,60%,10%,0%,10%,10%,20%,20%,20%,10%,30%,0%,30%,0%,0%,30%,,,,,,,,
,,,,,,,,,64%,55%,45%,55%,73%,18%,27%,55%,36%,36%,64%,36%,64%,18%,55%,45%,18%,18%,18%,9%,27%,64%,27%,55%,55%,45%,18%,36%,27%,45%,36%,36%,27%,73%,36%,18%,27%,18%,36%,45%,27%,18%,45%,27%,55%,18%,27%,0%,45%,36%,27%,36%,27%,27%,9%,27%,0%,36%,9%,27%,0%,18%,9%,9%,55%,9%,0%,9%,9%,18%,18%,18%,9%,27%,0%,27%,0%,9%,27%,,,,,,,,
,,,,,,,,,67%,58%,,50%,75%,17%,33%,50%,33%,33%,67%,33%,58%,25%,50%,50%,25%,25%,17%,17%,25%,58%,33%,50%,50%,42%,17%,33%,25%,42%,33%,42%,25%,67%,33%,17%,25%,25%,33%,42%,25%,17%,50%,25%,58%,17%,25%,0%,42%,33%,33%,33%,25%,25%,8%,33%,0%,33%,8%,25%,8%,17%,8%,8%,50%,8%,0%,8%,8%,17%,25%,17%,8%,33%,,33%,,8%,25%,,,,,,,,
,,,,,,,,,69%,62%,,46%,,15%,31%,46%,31%,31%,69%,38%,54%,31%,54%,54%,31%,23%,23%,15%,23%,54%,31%,46%,46%,46%,15%,38%,31%,38%,38%,38%,23%,62%,31%,15%,23%,23%,31%,38%,31%,15%,46%,23%,54%,15%,31%,8%,38%,31%,31%,31%,23%,23%,15%,31%,0%,31%,15%,23%,8%,15%,8%,8%,46%,8%,0%,8%,8%,23%,23%,15%,8%,31%,,31%,,8%,23%,,,,,,,,
,,,,,,,,,71%,64%,,50%,,14%,36%,43%,29%,36%,71%,43%,57%,29%,50%,50%,29%,21%,29%,14%,29%,50%,29%,43%,50%,43%,21%,36%,29%,36%,36%,43%,29%,64%,29%,14%,21%,21%,36%,36%,29%,21%,43%,29%,57%,21%,29%,7%,36%,29%,29%,29%,21%,21%,14%,29%,0%,29%,14%,21%,7%,14%,7%,14%,43%,14%,7%,7%,7%,21%,21%,14%,7%,29%,,29%,,7%,21%,,,,,,,,
,,,,,,,,,73%,,,47%,,13%,33%,47%,33%,40%,67%,47%,60%,27%,53%,53%,27%,20%,33%,13%,33%,47%,27%,40%,53%,47%,27%,33%,27%,33%,33%,40%,27%,60%,27%,13%,20%,27%,40%,33%,27%,20%,40%,27%,53%,20%,27%,7%,40%,27%,27%,27%,20%,20%,20%,27%,0%,27%,13%,20%,7%,13%,7%,13%,40%,13%,7%,13%,7%,27%,20%,13%,7%,27%,,27%,,,20%,,,,,,,,
,,,,,,,,,69%,,,44%,,12%,38%,50%,38%,38%,62%,44%,62%,31%,50%,50%,31%,25%,31%,12%,38%,44%,25%,44%,50%,50%,31%,31%,25%,31%,31%,44%,25%,56%,25%,12%,19%,25%,44%,31%,25%,25%,38%,25%,50%,19%,25%,6%,38%,31%,25%,25%,19%,25%,25%,25%,6%,25%,12%,19%,6%,12%,6%,12%,44%,12%,6%,12%,6%,25%,19%,12%,6%,25%,,31%,,,19%,,,,,,,,
,,,,,,,,,71%,,,41%,,18%,41%,53%,35%,35%,65%,41%,59%,29%,53%,47%,29%,29%,29%,18%,41%,41%,24%,41%,53%,47%,35%,29%,24%,29%,29%,41%,29%,59%,29%,18%,18%,29%,41%,35%,24%,29%,41%,29%,53%,18%,24%,6%,35%,29%,24%,24%,24%,24%,24%,24%,6%,24%,18%,18%,6%,12%,12%,18%,41%,12%,6%,12%,6%,24%,18%,12%,6%,24%,,29%,,,18%,,,,,,,,
,,,,,,,,,72%,,,44%,,17%,39%,56%,39%,39%,67%,39%,56%,33%,56%,44%,33%,28%,33%,22%,44%,39%,28%,39%,56%,50%,39%,28%,28%,33%,28%,44%,28%,61%,28%,17%,17%,33%,44%,33%,28%,28%,39%,28%,56%,17%,22%,6%,33%,33%,28%,28%,22%,22%,22%,28%,6%,22%,17%,17%,6%,17%,11%,17%,44%,11%,6%,17%,6%,22%,17%,11%,11%,22%,,28%,,,17%,,,,,,,,
,,,,,,,,,74%,,,42%,,16%,37%,53%,37%,37%,68%,37%,53%,37%,58%,47%,32%,26%,37%,21%,42%,42%,32%,37%,58%,47%,37%,26%,32%,32%,26%,47%,26%,58%,26%,21%,16%,32%,42%,37%,26%,26%,42%,32%,53%,21%,21%,5%,32%,37%,26%,32%,21%,26%,21%,26%,5%,21%,16%,16%,5%,16%,11%,16%,42%,11%,5%,16%,5%,21%,21%,16%,11%,21%,,26%,,,16%,,,,,,,,
,,,,,,,,,,,,45%,,20%,35%,55%,35%,35%,65%,40%,55%,35%,60%,50%,30%,25%,35%,25%,40%,45%,30%,40%,60%,45%,40%,30%,35%,35%,25%,45%,30%,55%,25%,25%,15%,35%,40%,35%,25%,30%,40%,30%,55%,20%,20%,5%,30%,35%,25%,35%,20%,30%,20%,25%,10%,20%,15%,20%,10%,20%,10%,15%,40%,10%,10%,15%,5%,20%,20%,15%,10%,20%,,25%,,,15%,,,,,,,,
,,,,,,,,,,,,43%,,24%,38%,52%,33%,38%,67%,38%,52%,38%,57%,52%,29%,24%,38%,24%,38%,43%,29%,38%,57%,43%,43%,29%,33%,33%,24%,48%,29%,57%,24%,24%,19%,33%,38%,33%,29%,33%,38%,29%,52%,19%,19%,5%,29%,33%,24%,33%,19%,29%,24%,24%,10%,19%,14%,24%,10%,19%,10%,19%,38%,10%,10%,14%,5%,24%,19%,14%,10%,19%,,24%,,,,,,,,,,,
,,,,,,,,,,,,41%,,23%,41%,50%,36%,41%,68%,36%,55%,41%,55%,50%,27%,27%,41%,27%,41%,45%,27%,36%,55%,45%,41%,27%,32%,32%,23%,45%,32%,55%,23%,23%,18%,32%,36%,32%,27%,32%,36%,27%,50%,18%,23%,5%,27%,32%,23%,32%,18%,27%,23%,27%,9%,18%,18%,23%,9%,18%,9%,18%,36%,9%,9%,14%,9%,23%,18%,14%,9%,18%,,23%,,,,,,,,,,,
,,,,,,,,,,,,43%,,26%,43%,52%,35%,39%,70%,39%,57%,43%,52%,48%,26%,30%,43%,30%,39%,48%,26%,35%,52%,43%,43%,26%,30%,30%,22%,48%,30%,52%,22%,22%,17%,35%,35%,30%,26%,30%,39%,26%,48%,17%,22%,9%,26%,35%,26%,30%,17%,26%,22%,26%,9%,22%,17%,22%,13%,17%,9%,17%,35%,9%,13%,13%,9%,22%,17%,13%,9%,22%,,26%,,,,,,,,,,,
,,,,,,,,,,,,42%,,25%,42%,50%,38%,38%,67%,42%,58%,46%,50%,46%,25%,33%,42%,33%,38%,46%,25%,33%,54%,42%,42%,25%,29%,33%,21%,50%,29%,50%,25%,21%,17%,38%,33%,33%,25%,29%,38%,25%,46%,17%,21%,8%,25%,33%,25%,29%,17%,25%,21%,25%,8%,25%,17%,21%,12%,17%,8%,17%,33%,8%,12%,12%,8%,21%,17%,12%,8%,21%,,25%,,,,,,,,,,,
,,,,,,,,,,,,44%,,24%,44%,48%,40%,40%,68%,40%,56%,48%,52%,44%,24%,32%,44%,36%,40%,48%,24%,32%,52%,44%,40%,28%,28%,32%,24%,48%,28%,52%,28%,20%,16%,40%,32%,32%,24%,28%,36%,28%,44%,16%,24%,8%,24%,32%,24%,32%,20%,24%,20%,24%,8%,24%,16%,20%,12%,20%,8%,20%,32%,8%,12%,12%,8%,24%,16%,16%,8%,20%,,24%,,,,,,,,,,,
,,,,,,,,,,,,42%,,23%,42%,50%,42%,42%,69%,38%,54%,46%,50%,46%,23%,31%,42%,38%,38%,50%,23%,35%,50%,46%,38%,27%,27%,35%,27%,50%,27%,50%,27%,19%,15%,38%,31%,31%,23%,27%,35%,27%,46%,15%,23%,8%,23%,31%,23%,31%,19%,23%,19%,27%,8%,27%,15%,19%,12%,19%,8%,19%,31%,8%,12%,12%,8%,23%,19%,15%,8%,19%,,23%,,,,,,,,,,,
,,,,,,,,,,,,,,22%,41%,52%,41%,41%,67%,41%,56%,48%,48%,48%,22%,30%,41%,37%,37%,48%,22%,37%,52%,44%,37%,26%,26%,33%,26%,48%,30%,52%,26%,19%,15%,37%,33%,30%,22%,30%,33%,30%,48%,15%,22%,11%,26%,33%,22%,30%,19%,22%,19%,26%,11%,26%,15%,19%,11%,22%,7%,19%,30%,11%,15%,11%,7%,22%,19%,15%,11%,19%,,,,,,,,,,,,,
,,,,,,,,,,,,,,21%,39%,50%,43%,43%,64%,39%,57%,50%,46%,50%,25%,29%,43%,36%,39%,46%,21%,36%,50%,43%,36%,29%,29%,32%,25%,46%,29%,50%,25%,18%,18%,36%,36%,32%,21%,29%,36%,29%,46%,14%,25%,11%,29%,36%,21%,29%,18%,21%,18%,25%,11%,25%,14%,18%,11%,21%,7%,18%,32%,11%,14%,11%,7%,21%,18%,14%,11%,18%,,,,,,,,,,,,,
,,,,,,,,,,,,,,21%,41%,52%,41%,45%,66%,38%,55%,48%,45%,48%,28%,31%,41%,38%,38%,45%,24%,38%,48%,45%,34%,31%,28%,34%,28%,48%,28%,48%,24%,17%,17%,34%,38%,31%,24%,28%,34%,31%,48%,14%,28%,14%,28%,34%,21%,28%,21%,21%,17%,24%,10%,24%,17%,21%,10%,21%,7%,21%,31%,10%,14%,10%,7%,21%,17%,14%,14%,21%,,,,,,,,,,,,,
,,,,,,,,,,,,,,23%,40%,53%,40%,47%,63%,37%,53%,47%,47%,47%,30%,33%,43%,40%,37%,47%,23%,40%,47%,47%,33%,30%,27%,37%,27%,47%,30%,47%,23%,17%,17%,33%,37%,30%,23%,30%,33%,30%,47%,13%,27%,13%,27%,33%,20%,27%,20%,20%,17%,23%,10%,23%,17%,20%,10%,20%,10%,20%,30%,10%,13%,13%,7%,20%,17%,17%,13%,20%,,,,,,,,,,,,,
,,,,,,,,,,,,,,23%,42%,52%,42%,48%,61%,35%,52%,48%,45%,45%,32%,35%,45%,42%,35%,45%,23%,39%,48%,45%,32%,32%,26%,35%,29%,45%,32%,48%,23%,19%,16%,32%,35%,29%,23%,29%,32%,29%,48%,13%,26%,13%,26%,35%,19%,26%,23%,23%,16%,23%,10%,23%,16%,23%,10%,19%,10%,19%,29%,10%,13%,13%,6%,23%,19%,19%,13%,19%,,,,,,,,,,,,,
,,,,,,,,,,,,,,25%,44%,53%,41%,47%,59%,34%,53%,47%,47%,44%,31%,38%,47%,41%,38%,44%,22%,38%,47%,44%,31%,34%,25%,34%,31%,47%,31%,47%,25%,19%,16%,34%,38%,28%,22%,28%,34%,28%,47%,12%,28%,12%,25%,38%,19%,25%,22%,22%,19%,22%,9%,22%,16%,22%,12%,19%,9%,19%,28%,9%,12%,12%,6%,22%,19%,19%,16%,19%,,,,,,,,,,,,,
,,,,,,,,,,,,,,24%,45%,52%,42%,48%,58%,33%,55%,48%,45%,42%,30%,36%,45%,39%,39%,42%,24%,39%,45%,42%,33%,33%,24%,33%,30%,45%,30%,45%,24%,18%,18%,36%,36%,27%,21%,27%,33%,27%,45%,12%,27%,15%,24%,39%,21%,24%,24%,21%,18%,21%,12%,21%,15%,21%,12%,18%,9%,18%,27%,12%,12%,12%,6%,21%,18%,18%,18%,21%,,,,,,,,,,,,,
,,,,,,,,,,,,,,24%,47%,53%,41%,50%,59%,35%,53%,50%,47%,44%,29%,38%,47%,41%,41%,41%,26%,38%,44%,41%,35%,32%,24%,35%,29%,44%,29%,47%,24%,18%,21%,35%,35%,26%,21%,29%,32%,26%,44%,15%,26%,15%,24%,38%,21%,24%,26%,21%,18%,24%,12%,21%,15%,21%,12%,18%,9%,21%,26%,12%,12%,15%,6%,21%,18%,18%,18%,21%,,,,,,,,,,,,,
,,,,,,,,,,,,,,23%,49%,54%,43%,49%,60%,34%,54%,49%,49%,43%,29%,37%,46%,43%,40%,40%,26%,40%,43%,43%,34%,31%,26%,37%,31%,46%,29%,46%,26%,17%,20%,37%,34%,29%,23%,31%,34%,26%,43%,14%,26%,17%,26%,37%,23%,26%,29%,23%,17%,23%,11%,23%,14%,20%,11%,17%,9%,20%,26%,14%,11%,14%,6%,20%,17%,17%,17%,20%,,,,,,,,,,,,,
,,,,,,,,,,,,,,25%,50%,53%,44%,47%,58%,33%,53%,47%,50%,44%,28%,36%,47%,42%,42%,42%,25%,42%,42%,42%,36%,33%,25%,39%,31%,44%,28%,44%,28%,17%,22%,36%,36%,28%,22%,33%,33%,25%,42%,14%,25%,17%,25%,36%,25%,25%,28%,22%,17%,22%,14%,25%,14%,19%,11%,17%,8%,22%,25%,14%,11%,14%,6%,19%,17%,17%,17%,19%,,,,,,,,,,,,,
,,,,,,,,,,,,,,27%,51%,54%,43%,49%,59%,32%,51%,49%,49%,46%,27%,38%,49%,43%,41%,43%,27%,43%,43%,41%,35%,32%,27%,38%,30%,43%,27%,43%,27%,16%,24%,35%,38%,30%,22%,32%,32%,27%,41%,16%,24%,16%,24%,35%,24%,24%,27%,22%,16%,22%,14%,24%,14%,19%,11%,16%,8%,22%,24%,14%,14%,14%,5%,19%,16%,16%,16%,19%,,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,53%,53%,42%,47%,61%,34%,53%,50%,50%,47%,29%,39%,50%,42%,42%,42%,26%,42%,42%,39%,37%,34%,26%,37%,32%,42%,29%,42%,26%,18%,24%,37%,39%,32%,24%,32%,32%,26%,39%,16%,24%,16%,26%,34%,26%,24%,26%,24%,16%,24%,16%,24%,16%,18%,11%,18%,8%,21%,24%,16%,13%,13%,8%,18%,18%,16%,,18%,,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,54%,51%,41%,46%,59%,33%,51%,51%,51%,49%,28%,38%,49%,41%,44%,44%,28%,44%,44%,38%,36%,36%,28%,36%,31%,41%,31%,41%,28%,21%,23%,36%,41%,33%,23%,33%,31%,26%,38%,15%,23%,15%,26%,33%,28%,23%,26%,23%,18%,26%,18%,26%,15%,18%,10%,18%,10%,23%,23%,15%,13%,15%,8%,18%,18%,15%,,21%,,,,,,,,,,,,,
,,,,,,,,,,,,,,28%,,52%,40%,48%,57%,32%,52%,50%,52%,48%,28%,40%,50%,40%,42%,42%,28%,42%,42%,38%,35%,35%,30%,35%,30%,42%,30%,42%,30%,20%,22%,35%,40%,32%,22%,35%,30%,25%,38%,18%,22%,15%,28%,32%,28%,22%,25%,22%,18%,25%,18%,25%,18%,18%,12%,18%,10%,25%,25%,18%,12%,15%,8%,18%,20%,15%,,20%,,,,,,,,,,,,,
,,,,,,,,,,,,,,27%,,54%,41%,46%,59%,32%,51%,49%,54%,46%,27%,39%,51%,39%,44%,41%,29%,44%,44%,37%,37%,34%,32%,34%,32%,41%,32%,41%,29%,20%,24%,37%,41%,32%,22%,34%,32%,27%,37%,17%,22%,15%,27%,32%,29%,24%,24%,22%,17%,24%,17%,24%,20%,17%,12%,17%,10%,24%,27%,17%,12%,15%,7%,17%,20%,15%,,20%,,,,,,,,,,,,,
,,,,,,,,,,,,,,26%,,,43%,45%,60%,31%,52%,50%,52%,45%,26%,40%,52%,38%,43%,40%,29%,43%,45%,36%,36%,33%,33%,33%,33%,43%,33%,40%,29%,21%,26%,38%,40%,31%,21%,33%,31%,26%,38%,17%,24%,14%,26%,33%,29%,24%,26%,21%,17%,24%,17%,26%,19%,17%,12%,17%,10%,24%,26%,19%,12%,14%,7%,17%,19%,14%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,28%,,,44%,44%,60%,,53%,51%,53%,44%,26%,42%,53%,40%,42%,42%,28%,44%,47%,37%,37%,33%,33%,35%,33%,44%,33%,40%,30%,21%,26%,37%,40%,30%,21%,35%,30%,28%,37%,16%,23%,16%,26%,33%,28%,26%,26%,21%,16%,23%,16%,26%,19%,19%,12%,16%,9%,26%,26%,19%,12%,14%,7%,16%,19%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,43%,61%,,55%,52%,52%,45%,27%,41%,55%,41%,41%,41%,30%,43%,48%,36%,39%,34%,32%,36%,34%,43%,34%,41%,30%,20%,25%,36%,39%,30%,20%,36%,30%,27%,36%,18%,23%,16%,27%,32%,27%,27%,25%,20%,16%,23%,16%,25%,18%,20%,11%,18%,11%,25%,25%,18%,11%,14%,9%,16%,18%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,42%,62%,,53%,53%,53%,47%,29%,40%,56%,40%,40%,40%,29%,42%,47%,36%,38%,33%,31%,36%,36%,42%,33%,42%,29%,20%,24%,38%,38%,31%,20%,36%,29%,29%,36%,18%,22%,18%,27%,31%,29%,27%,24%,20%,16%,24%,16%,24%,20%,22%,11%,18%,11%,24%,24%,18%,11%,,9%,16%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,41%,63%,,52%,52%,54%,46%,28%,41%,54%,39%,39%,39%,30%,43%,46%,37%,37%,33%,33%,37%,35%,41%,33%,43%,30%,22%,24%,37%,37%,30%,20%,37%,28%,28%,37%,17%,22%,17%,28%,30%,28%,26%,24%,20%,15%,26%,15%,24%,20%,24%,11%,17%,13%,26%,26%,20%,11%,,9%,15%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,43%,64%,,51%,51%,53%,45%,30%,43%,55%,38%,38%,38%,32%,43%,47%,38%,36%,32%,34%,36%,34%,40%,32%,45%,30%,23%,23%,36%,36%,30%,19%,38%,28%,28%,36%,17%,21%,17%,28%,30%,30%,26%,23%,19%,15%,26%,15%,23%,19%,23%,11%,19%,13%,28%,26%,21%,11%,,9%,15%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,44%,65%,,52%,50%,54%,46%,29%,44%,54%,38%,40%,38%,33%,44%,48%,38%,35%,31%,33%,38%,35%,40%,31%,46%,29%,25%,25%,38%,38%,29%,21%,38%,29%,27%,35%,17%,23%,17%,27%,29%,29%,25%,23%,19%,15%,27%,15%,23%,19%,23%,10%,19%,15%,27%,25%,21%,10%,,8%,15%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,45%,63%,,53%,49%,55%,45%,31%,43%,53%,37%,39%,37%,33%,45%,49%,37%,37%,33%,33%,37%,37%,41%,31%,45%,29%,24%,27%,37%,37%,31%,20%,37%,29%,29%,37%,16%,22%,18%,27%,29%,29%,24%,22%,18%,14%,27%,16%,22%,18%,22%,12%,18%,14%,27%,24%,20%,10%,,8%,14%,,,,,,,,,,,,,,,,,
